scholarship_id,region,scholarship_name,scholarship_name_original,provider,provider_type,applies_to_institution,applies_to_city,applies_to_programs,degree_level_covered,coverage_level,amount_eur_per_year,amount_notes,duration_covered,number_of_awards,nationality_restrictions,tunisia_eligible,tunisia_eligible_evidence,other_eligibility,requires_admission_first,application_window,deadline,deadline_source_cycle,apply_via,funding_url,source_urls,verification_status,verifier_agent,verified_date,red_flags,notes
FBE-001,germany_other,DAAD Development-Related Postgraduate Courses (EPOS),Entwicklungsbezogene Postgraduiertenstudiengaenge (EPOS),Deutscher Akademischer Austauschdienst (DAAD),government_national,Technische Universitaet Berlin|Charite - Universitaetsmedizin Berlin|Freie Universitaet Berlin|Humboldt-Universitaet zu Berlin,Berlin (2 of ~40 EPOS courses nationwide),Urban Management - UM (MSc 18 months TU Berlin)|Master of Science in International Health (MSc 12 months Charite Berlin/FU Berlin/HU Berlin),master (exceptionally doctorate),full+stipend,11904,992 EUR/month for graduates (1300 EUR/month for doctoral candidates; 1400 EUR from Feb 2026). Plus health/accident/personal-liability insurance contributions and a travel allowance unless covered elsewhere. Possible monthly rent subsidy and family allowance. Berlin public universities charge no tuition so the stipend is effectively net living money.,12 to 42 months depending on the study programme (TU Berlin Urban Management = 18 months),TBC,Only nationals of countries on the DAAD/OECD-DAC developing-country list for EPOS,yes,"""Graduates with at least two years' professional experience from the following countries: list of eligible countries"" - the DAC list names under NORTH AFRICA: Algeria, Egypt, Libya, Morocco, Tunesia.",Bachelor (normally four-year) in a related subject; degree in the upper third of the class; AT LEAST TWO YEARS of relevant professional experience after the first degree at the time of application; degree not more than six years old; not resident in Germany >15 months at the deadline. Max 3 courses per applicant.,no,"Set by each individual EPOS course, not by the DAAD; applications go directly to the course. Current list is 'List of all Postgraduate courses with application deadlines 2027/2028' (Stand 06/2026).",Course-specific - see the DAAD EPOS deadlines list for 2027/2028; TU Berlin Urban Management and Charite International Health both say 'see website of the course',2027/2028 cycle (DAAD EPOS deadline list Stand 06/2026),Directly to the chosen postgraduate course (NOT to the DAAD) using the DAAD EPOS application form + checklist,https://www2.daad.de/deutschland/stipendium/datenbank/en/21148-scholarship-database/?detail=50076777,https://www2.daad.de/deutschland/stipendium/datenbank/en/21148-scholarship-database/?detail=50076777|https://www2.daad.de/deutschland/stipendium/datenbank/en/21148-scholarship-database.pdf?detail=50076777|https://static.daad.de/media/daad_de/pdfs_nicht_barrierefrei/in-deutschland-studieren-forschen-lehren/dac_laenderliste_epos.pdf|https://static.daad.de/media/daad_de/pdfs_nicht_barrierefrei/in-deutschland-studieren-forschen-lehren/daad_epos_deadlines.pdf,VERIFIED,F-BE,2026-08-22,THE TWO-YEAR PROFESSIONAL-EXPERIENCE BAR IS ABSOLUTE - a 2027 graduate straight out of the engineering diploma is NOT eligible. Only 2 Berlin courses exist and neither is software/music. German-track courses require B1 German at application and DSH-2/TestDaF-4 before the course starts.,"German-language proficiency IS a funding condition for German-taught EPOS courses (B1 certificate at application, DSH 2 / TestDaF 4 before study start; a 6-month German course in Germany is included). For English-taught courses only English per course rules. Both Berlin courses are English-taught. Realistic only if the client works 2+ years before applying."
FBE-002,germany_other,DAAD Study Scholarships - Master Studies for All Academic Disciplines,DAAD-Studienstipendien - Masterstudien fuer alle wissenschaftlichen Faecher,Deutscher Akademischer Austauschdienst (DAAD),government_national,any,"any (Germany, incl. all Berlin state universities)",all_masters,master,full+stipend,11904,"992 EUR/month, plus insurance contributions, travel allowance on application, annual study allowance of 460 EUR, possible rent subsidy, Green Mobility top-up, funded online language course and 2/4/6-month German course before the study visit.",10 to 24 months (standard period of study),TBC,"Restricted to a closed country list which is essentially Europe, the CIS, and industrialised countries",no,"Country selector lists Afghanistan...Syria, Tajikistan, Turkmenistan, Ukraine, UK, USA, Uzbekistan, Yemen - Tunisia is absent. ""If your status and/or country is not included in the list, you cannot apply for this scholarship programme.""",First degree by the start of funding; last degree not older than 6 years; not resident in Germany >15 months at deadline.,no,1 June to the country-specific deadline (for funding starting 1 October 2027),Not applicable for Tunisia - no deadline is served when Tunisia is selected as country of origin,2027 cycle (funding must begin in 2027),DAAD portal (portal.daad.de),https://www2.daad.de/deutschland/stipendium/datenbank/en/21148-scholarship-database/?detail=50026200,https://www2.daad.de/deutschland/stipendium/datenbank/en/21148-scholarship-database/?detail=50026200|https://www.daad.de/en/studying-in-germany/scholarships/daad-scholarships/|https://www2.daad.de/deutschland/stipendium/datenbank/de/21148-stipendiendatenbank/?detail=50026200&origin=189&status=2,VERIFIED,F-BE,2026-08-22,"CLOSED TO TUNISIANS. DAAD's own overview says master's study scholarships are 'available, in particular, for persons from industrial countries'. Do not waste an application cycle here.","Logged specifically so the client does not chase it. DAAD routes developing/emerging-country applicants to EPOS and the STEM study scholarships instead - but see FBE-007: the STEM line also excludes Tunisia. Language condition would have been proficiency in the language of instruction only (German OR English), not German per se."
FBE-003,germany_other,DAAD Study Scholarships - Music,DAAD-Studienstipendien - Musik,Deutscher Akademischer Austauschdienst (DAAD),government_national,any state Musikhochschule (Berlin: Universitaet der Kuenste Berlin / Hochschule fuer Musik Hanns Eisler Berlin),any (Germany),Master / postgraduate music degree (2nd cycle) or Konzertexamen/Meisterklasse (3rd cycle)|Advanced studies without a degree,master and post-master,full+stipend,11904,"992 EUR/month, travel allowance on application, one-off study allowance, health/accident/personal-liability insurance contributions, possible rent subsidy and family allowance, Green Mobility top-up, funded online language course plus a 2/4/6-month German course before the study visit.","Degree studies: 2 to 4 semesters (10-24 months). Advanced studies without a degree: 12 months, extendable in individual cases.",TBC,Open worldwide - very long country list including Tunisia,yes,"Country selector for this programme includes ""...Trinidad and Tobago Tunisia Turkey Turkmenistan Uganda Ukraine...""; DAAD: ""Please select your status and your country to enable you to submit an application"".","""you will have obtained a first degree in music by the time the scholarship begins, or you have exhausted all training opportunities for your instrument or subject in your home country if no degree is offered in your country of origin"". Last degree <=6 years old; not resident in Germany >15 months. Funds only ARTISTIC projects - musicology/music education/scientific projects are excluded.",unclear,Applications via the DAAD portal; portal opens 1 June and closes on the deadline below,24 September 2026 (Bewerbungsschluss 24.09.2026); selection meeting February 2027; funding starts from October 2027,2027 cycle - this IS the window for a September/October 2027 start,DAAD portal (portal.daad.de) + artistic work samples via the DAAD media database,https://www2.daad.de/deutschland/stipendium/datenbank/en/21148-scholarship-database/?detail=57135743,https://www2.daad.de/deutschland/stipendium/datenbank/en/21148-scholarship-database/?detail=57135743|https://www2.daad.de/deutschland/stipendium/datenbank/de/21148-stipendiendatenbank/?detail=57135743&origin=189&status=2,VERIFIED,F-BE,2026-08-22,HARD BLOCKER FOR THIS CLIENT: requires a FIRST DEGREE IN MUSIC (or proof that no music degree exists in the home country and all local training has been exhausted). A software-engineering diploma plus a portfolio does not satisfy this. Audition/work-sample gated. Deadline 24 Sept 2026 is roughly one month away.,"German is NOT a funding condition per se - DAAD asks only for 'sufficient knowledge of the language of instruction' by the start of the scholarship; a German course is funded if needed and is compulsory only where the course is taught in German. Berlin's state music schools (UdK Berlin, HfM Hanns Eisler) teach mostly in German, which would make German a de-facto condition there."
FBE-004,germany_other,"DAAD Study Scholarships - Fine Art, Design, Visual Communication and Film","DAAD-Studienstipendien - Bildende Kunst, Design/Visuelle Kommunikation und Film",Deutscher Akademischer Austauschdienst (DAAD),government_national,"any state or state-recognised German university (Berlin: Universitaet der Kuenste Berlin, weissensee kunsthochschule berlin, Kunsthochschule Berlin-Weissensee)",any (Germany),"Master/postgraduate degree in Fine Art, Design, Visual Communication or Film|Complementary course without a degree",master and post-master,full+stipend,11904,"992 EUR/month, travel allowance on application, one-off study allowance, health/accident/personal-liability insurance contributions, possible rent subsidy and family allowance, Green Mobility top-up, funded language courses.",10 to 24 months for a degree course; 12 months for complementary studies,TBC,Open worldwide - long country list including Tunisia,yes,"Country selector includes ""...Trinidad and Tobago Tunisia Turkey Turkmenistan..."" for this programme.","""You can apply if you have gained a first university degree in the field of arts."" Only artistic/creative projects; art history, art studies and restoration are excluded. Last degree <=6 years; not resident in Germany >15 months.",unclear,"DAAD portal; opens 1 June, closes on the deadline below. Portfolio submitted in a second step via the DAAD media database after the formal check.",15 October 2026 (Bewerbungsschluss 15.10.2026); selection April 2027; funding starts from October 2027,2027 cycle - this IS the window for a September/October 2027 start,DAAD portal (portal.daad.de) then artistic portfolio via the DAAD media database,https://www2.daad.de/deutschland/stipendium/datenbank/en/21148-scholarship-database/?detail=57135742,https://www2.daad.de/deutschland/stipendium/datenbank/en/21148-scholarship-database/?detail=57135742|https://www2.daad.de/deutschland/stipendium/datenbank/de/21148-stipendiendatenbank/?detail=57135742&origin=189&status=2,VERIFIED,F-BE,2026-08-22,Requires a first university degree IN THE FIELD OF ARTS - a software-engineering diploma does not qualify on the face of the text. Portfolio-gated (two-stage submission). Deadline 15 Oct 2026.,Closest artistic DAAD line to a sound-design / audiovisual / media-art master's (e.g. UdK Berlin Sound Studies and Sonic Arts sits in the art field). Worth a written eligibility query to DAAD Tunis if the client can argue an arts-field first degree. German is not a stated funding condition; only 'sufficient knowledge of the language of instruction'.
FBE-005,germany_other,DAAD Study Scholarships - Performing Arts,DAAD-Studienstipendien - Darstellende Kunst,Deutscher Akademischer Austauschdienst (DAAD),government_national,"any state or state-recognised German university (Berlin: Universitaet der Kuenste Berlin, Hochschule fuer Schauspielkunst Ernst Busch)",any (Germany),"Master/postgraduate degree in Drama, Theatre Directing/Dramaturgy, Musicals, Performance Studies, Dance, Choreography|Complementary course without a degree",master and post-master,full+stipend,11904,"992 EUR/month, travel allowance on application, one-off study allowance, insurance contributions, possible rent subsidy and family allowance.",10 to 24 months for a degree course; 12 months for complementary studies,TBC,Open worldwide - long country list including Tunisia,yes,"Country selector includes ""...Trinidad and Tobago Tunisia Turkey Turkmenistan Uganda..."" for this programme.","""You can apply if you have gained a first university degree in the field of the Performing Arts at the latest by the time you commence your scholarship-supported study programme."" Artistic projects only.",unclear,"DAAD portal; opens 1 June, closes on the deadline below; work samples in a second step via the DAAD media database",15 October 2026 (Bewerbungsschluss 15.10.2026); selection April 2027; funding starts from October 2027,2027 cycle - this IS the window for a September/October 2027 start,DAAD portal (portal.daad.de) then work samples via the DAAD media database,https://www2.daad.de/deutschland/stipendium/datenbank/en/21148-scholarship-database/?detail=50109971,https://www2.daad.de/deutschland/stipendium/datenbank/en/21148-scholarship-database/?detail=50109971|https://www2.daad.de/deutschland/stipendium/datenbank/de/21148-stipendiendatenbank/?detail=50109971&origin=189&status=2,VERIFIED,F-BE,2026-08-22,Requires a first university degree in the Performing Arts. Not a route for a software engineer. Logged for completeness of the DAAD artist family.,Listed because the brief asks for the artist lines; performance/live-electronics work would fall here rather than under Music if framed as performance studies. German not a stated funding condition.
FBE-006,germany_other,DAAD Helmut-Schmidt-Programme - Master's Scholarships for Public Policy and Good Governance,Helmut-Schmidt-Programm - Master's Scholarships for Public Policy and Good Governance (PPGG),"Deutscher Akademischer Austauschdienst (DAAD), funded by the Federal Foreign Office",government_national,seven DAAD-selected German higher education institutions,"Germany - NO BERLIN INSTITUTION participates (the 2027 course annex names Duisburg-Essen, Erfurt/Willy Brandt School, Passau, Magdeburg, Bochum and others; Berlin appears only as a geographic reference for Magdeburg)","DAAD-selected English-taught master's courses in Social and Political Sciences, Law, Economics, Public Policy and Administration",master,full+stipend,11904,"992 EUR/month, health insurance in Germany, lump-sum travel allowances, a study and research grant, rent subsidies and family supplements as applicable. ""DAAD scholarship holders are exempt from paying tuition fees."" For the Social Protection course a 500 EUR/month sur place rate applies in the online 4th semester.","Duration of the selected master's course, starting September/October 2027, plus a mandatory German language course in Germany of up to 4 months beforehand",TBC,Graduates from developing and emerging countries on the OECD-DAC list,yes,"Country selector for this programme lists ""...Timor-Leste Togo Tonga Tunisia Turkey Turkmenistan Tuvalu Uganda...""; call text: ""Graduates from developing and emerging countries (bachelor or equivalent)"".","Well-qualified first degree with above-average grades (upper third) IN Social and Political Sciences, Law, Economics, Public Policy or Administration; relevant practical experience; degree issued not before 1 January 2020; not more than the past 15 months in a non-DAC country. Max two master's courses per applicant.",no,1 June to 31 July 2026 for the September/October 2027 intake - THIS WINDOW HAS ALREADY CLOSED,31 July 2026 (closed 22 days before this verification),2027 cycle (official call ST42 Helmut-Schmidt-Programm - Stipendienausschreibung 05/2026) - CLOSED; 2028 cycle expected to open 1 June 2027,"Directly to the chosen master's course(s), not to the DAAD",https://www2.daad.de/deutschland/stipendium/datenbank/en/21148-scholarship-database/?detail=50026397,https://www2.daad.de/deutschland/stipendium/datenbank/en/21148-scholarship-database/?detail=50026397|https://static.daad.de/media/daad_de/pdfs_nicht_barrierefrei/in-deutschland-studieren-forschen-lehren/daad_helmut_schmidt_programme_current_announcement.pdf|https://static.daad.de/media/daad_de/pdfs_nicht_barrierefrei/in-deutschland-studieren-forschen-lehren/daad_helmut_schmidt_programme_information_about_the_master_s_courses.pdf,VERIFIED,F-BE,2026-08-22,"NO BERLIN OPTION - and MISSED FOR 2027: applications closed 31 July 2026. Also a subject mismatch - the first degree must be in social/political science, law, economics or public administration, not engineering. Selection committee met October/November 2026; results December 2026/January 2027.",Language condition: English proficiency is required (all courses are English-taught) BUT a preceding German course in Germany of up to 4 months is COMPULSORY for all scholarship holders - so German study is an obligation of the award even though it is not an entry condition. Recorded because the brief asks for closed schemes too.
FBE-007,germany_other,DAAD Study Scholarships for STEM disciplines,DAAD-Studienstipendien fuer MINT-Faecher,Deutscher Akademischer Austauschdienst (DAAD),government_national,any state or state-recognised German university offering a tuition-free STEM master's,"any (Germany, incl. Berlin)","Full-time on-campus master's in mathematics, computer science, natural sciences and engineering",master,full+stipend,11904,"992 EUR/month, insurance contributions, travel allowance on application, annual study allowance of 460 EUR, possible rent subsidy and family allowance.","10 to 24 months; funding must begin in 2027, usually 1 October 2027",TBC,Closed list of 24 developing and emerging countries,no,"Full country selector: ""Belize Cambodia Colombia Costa Rica Dominican Republic Ecuador El Salvador Ghana Guatemala Honduras Indonesia Jordan Kenya Lao PDR Malaysia Mexico Myanmar Nicaragua Panama Peru Thailand Timor-Leste Venezuela Vietnam"" - no Tunisia.",First degree recognised in Germany by the deadline; must NOT already hold a master's; the target master's must be tuition-free; programmes with integrated stays outside Germany are excluded.,no,Not applicable for Tunisia,Not applicable for Tunisia,2027 cycle (winter term 27/28),DAAD portal,https://www2.daad.de/deutschland/stipendium/datenbank/en/21148-scholarship-database/?detail=57742130,https://www2.daad.de/deutschland/stipendium/datenbank/en/21148-scholarship-database/?detail=57742130,VERIFIED,F-BE,2026-08-22,"CLOSED TO TUNISIANS despite being the perfect subject fit (computer science / engineering master's, 992 EUR/month). This is the single most painful exclusion in the whole Berlin funding map.",Worth re-checking in spring 2027 in case DAAD widens the country list - the list is revised annually. Language condition: proficiency in the language of instruction only.
FBE-008,berlin,COST BASELINE - Semesterbeitrag and tuition at Berlin public universities (not a scholarship),Semesterbeitrag / Semestergebuehren und -beitraege,"Land Berlin state universities (TU Berlin, FU Berlin, HTW Berlin, HWR Berlin, BHT Berlin)",university,Technische Universitaet Berlin|Freie Universitaet Berlin|Hochschule fuer Technik und Wirtschaft Berlin (HTW)|Hochschule fuer Wirtschaft und Recht Berlin (HWR)|Berliner Hochschule fuer Technik (BHT),Berlin,all,all,none_found,"750 to 760 (cost, not funding)","Semester fee WINTER SEMESTER 2026/27, per semester, official figures: TU Berlin 379.06 EUR (admin 50.00 + student body 14.56 + studierendenWERK 85.00 + Semesterticket 226.80 + ticket social fund 2.70; 149.56 without the ticket). HWR Berlin 379.77 EUR (50.00 + 85.00 + AStA 17.97 + 226.80; 152.97 without ticket). FU Berlin 376.80 EUR (studierendenWERK 85.00 + admin 50.00 + AStA 10.00 + Deutschlandsemesterticket 226.80 + social fund 5.00). BHT Berlin 376.30 EUR (50.00 + 85.00 + student body 11.50 + ticket 226.80 + social fund 3.00). HTW Berlin 375.30 EUR (exchange students 325.30 EUR). Late re-registration surcharge 19.94 EUR everywhere.","Per semester, payable at enrolment and at every re-registration",n/a,None - the same fee applies to EU and non-EU students,yes,"HWR Berlin: ""Studierende im Land Berlin zahlen derzeit fuer Bachelor- und konsekutive Masterstudiengaenge keine Studiengebuehren an den staatlichen Hochschulen."" FU Berlin: ""Die Freie Universitaet Berlin erhebt - ausser fuer weiterbildende Studienangebote - keine Studiengebuehren.""",The Semesterticket component (226.80 EUR) buys the Deutschlandsemesterticket - unlimited local and regional public transport across Germany for the whole semester. It is compulsory for on-campus students; exemption/subsidy schemes exist via the AStA social fund.,yes,Payable by the enrolment / re-registration deadline each semester,Re-registration deadline each semester (TU Berlin: last Friday of lecture period at FU Berlin),Winter semester 2026/27 figures - 2027/28 figures TBC but historically move by only a few euros,Bank transfer to the university cashier,https://www.tu.berlin/en/studierendensekretariat/topics-a-z/semester-fees,https://www.tu.berlin/en/studierendensekretariat/topics-a-z/semester-fees|https://www.fu-berlin.de/studium/studieren/studienorganisation/gebuehren/index.html|https://www.htw-berlin.de/en/studies/study-organisation/semester-fee|https://www.hwr-berlin.de/studium/studieren-an-der-hwr-berlin/studienorganisation/semesterbeitrag/|https://www.bht-berlin.de/189,VERIFIED,F-BE,2026-08-22,"NO TUITION applies only to Bachelor and CONSECUTIVE master's programmes at STATE universities. Weiterbildende (continuing-education / non-consecutive / executive) master's DO charge real fees even at state universities - HTW's Division of Continuing Education pays a different fee, and FU explicitly excludes weiterbildende Studienangebote from the no-tuition rule. Private Berlin institutions charge full tuition.","This row exists so the Wave 4 ranking has the true Berlin cost in one place. Non-EU status changes NOTHING about the fee. Effective annual cost of studying at a Berlin public university = roughly 750-760 EUR of semester fees plus living costs; the semester fee already includes a Germany-wide transport ticket worth far more than its price. HU Berlin and UdK Berlin figures could not be retrieved (HU is behind an anti-bot wall, UdK has no published fee page found) - TBC, but the 50 EUR admin + 85 EUR studierendenWERK + 226.80 EUR ticket components are set by Land Berlin regulation and are identical everywhere."
FBE-009,berlin,VISA COST BASELINE - German student visa proof of funds (Sperrkonto) for Tunisian applicants,"Finanzierungsnachweis / Sperrkonto - Check-list Etudes, Ambassade d'Allemagne Tunis",Auswaertiges Amt / German Embassy Tunis (Ambassade d'Allemagne a Tunis),embassy,any,Berlin (and all of Germany),all,all,none_found,"11904 (cost, not funding)","German Embassy Tunis study-visa checklist: the amount required to finance one year of study is 11,904 EUR (992 EUR per month). Accepted proof: (a) a blocked account IN GERMANY, or (b) a Verpflichtungserklaerung under ss.66-68 AufenthG by a person resident in Germany. Since February 2023 the Embassy accepts ONLY a blocked account held at a GERMAN bank - a Tunisian blocked account is no longer accepted. National visa (D) fee 75.00 EUR, payable in TND in cash.",One year (renewed for each subsequent year via the Auslaenderbehoerde),n/a,Applies to Tunisian nationals applying at the Embassy in Tunis,yes,"""Le montant prevu pour le financement d'une annee d'etudes s'eleve a 11.904 EUR (992 EUR par mois) (a) compte bloque en Allemagne"" - Check-list Etudes, Ambassade d'Allemagne Tunis.","The Etudes checklist also demands an UNCONDITIONAL admission letter (Certificat d'admission inconditionnel) plus proof of language: DSH or TestDaF for German-taught programmes, IELTS/TOEFL or equivalent for English-taught ones; a legalised baccalaureat and legalised university diploma with transcripts; and proof of health insurance.",yes,"Waiting-list registration with the Embassy, then an appointment via TLScontact; studies/study-preparation visas can now also be filed through the Consular Services Portal",No fixed deadline - but processing can take up to three months and appointment waiting times are published per category,Current as displayed 2026-08-22 (Etudes checklist page dated 25.07.2024; visa overview page updated 29.06.2026),German Embassy Tunis / TLScontact / Consular Services Portal (VIDEX form),https://tunis.diplo.de/tn-fr/service/05-visaeinreise/2573172-2573172,https://tunis.diplo.de/tn-fr/service/05-visaeinreise/2573172-2573172|https://tunis.diplo.de/tn-fr/service/05-visaeinreise/2585104-2585104|https://tunis.diplo.de/tn-fr/service/05-visaeinreise/1672716-1672716|https://www.auswaertiges-amt.de/en/visa-service/-/2470154,VERIFIED,F-BE,2026-08-22,"11,904 EUR must be liquid and parked in a GERMAN blocked account before the visa interview - this is the single largest cash barrier in the Berlin plan, and it is roughly 16x the annual semester fee. It changes yearly with the BAfoeG maximum rate; re-check in spring 2027.","A SCHOLARSHIP REMOVES THIS REQUIREMENT. The Embassy runs a separate checklist, 'Boursiers d'Etat allemand/Erasmus+' (Boursiers d'Etat allemand / Erasmus+), whose document list contains NO financing proof at all - only the scholarship award letter (attestation de bourse), the German university's confirmation, passport, photos and health insurance for the whole stay. Scholarship holders also skip the waiting list (they book directly with TLScontact) and the 75 EUR visa fee is waived for holders of publicly funded scholarships. That makes 'win a public scholarship' worth about 12,000 EUR of liquidity on top of the stipend itself."
FBE-010,germany_other,Avicenna-Studienwerk International Scholarship Programme (ISP),Internationales Stipendienprogramm (ISP) des Avicenna-Studienwerks und des Islamkolleg Deutschland,"Avicenna-Studienwerk e.V. with Islamkolleg Deutschland, funded by the Auswaertiges Amt",foundation,any state or state-recognised German university (all Berlin public universities and state-recognised private ones qualify),"any (Germany, incl. Berlin)","all_masters (all subjects, all disciplines)",master and doctorate,full+stipend,12528,"Master's level: 844 EUR/month stipend + 100 EUR/month health-insurance subsidy + 100 EUR/month mobility allowance = 1,044 EUR/month. Possible extras: 276 EUR family supplement, one-off start/book allowance of 100 EUR / 50 EUR. Doctoral level 1,275 EUR + the same two 100 EUR allowances.",The full standard period of the master's programme (Regelstudienzeit); extension possible,TBC,International (non-Bildungsinlaender) Muslim students; no country list published,likely,"""Das Stipendienprogramm richtet sich an internationale Studierende und Promovierende, die an einer Hochschule in Deutschland ein Masterstudium oder eine Promotion absolvieren wollen. Bildungsinlaender:innen koennen im Rahmen des ISP leider nicht gefoerdert werden.""","Above-average academic potential; social, cultural or political engagement; master's or doctorate at a state-recognised German institution; open regardless of age, gender or discipline. NOT fundable: Bildungsinlaender, bachelor's, part-time study, Staatsexamen, a second master's, and double funding by another Begabtenfoerderungswerk. Documents: motivation letter (max 2pp), CV (max 2pp), school-leaving certificate, university and work certificates, enrolment certificate if available, proof of social engagement, two academic references, passport copy, transcript of records.",no,1 March to 15 April 2026 for funding starting 1 October 2026 - so expect roughly 1 March to 15 April 2027 for a 1 October 2027 start,15 April 2026 (2026 cycle),2026 cycle - 2027 TBC (window pattern 01.03.-15.04. for a 1 October funding start),Avicenna online application portal (currently closed),https://www.avicenna-studienwerk.de/internationales-stipendienprogramm/,https://www.avicenna-studienwerk.de/internationales-stipendienprogramm/|https://www.avicenna-studienwerk.de/stipendium/,VERIFIED,F-BE,2026-08-22,"The programme is explicitly for MUSLIM students - a confessional criterion the client must be comfortable declaring. No published country list, so Tunisia is 'likely' rather than confirmed; a one-line email to Enes Erdogan at Avicenna would settle it. Enrolment certificate must be supplied as soon as it exists.","STRONGEST NON-DAAD PRE-ARRIVAL ROUTE FOUND FOR THIS CLIENT. No German-language condition is stated anywhere in the ISP call - documents may be submitted in German OR English, unlike the regular Avicenna Studienfoerderung which demands C1/DSH-2 from non-EU applicants. All subjects are eligible, so a computer-science or media/sound master's in Berlin fits. 1,044 EUR/month exceeds the DAAD rate. The application window (March-April 2027) sits AFTER most Berlin master's application deadlines, which is convenient: admission first, scholarship second."
